,0
1210,56389
1211,56434
1212,56434
1213,56434
1214,56434
1215,56434
1216,56434
1217,56434
1218,56434
1219,56434
1220,56434
1221,56434
1222,56434
1223,56434
1224,56434
1225,56434
1226,56434
1227,56434
1228,56434
1229,56434
1230,56434
1231,56434
1232,56434
1233,56434
1234,56434
1235,56474
1236,56474
1237,56474
1238,56474
1239,56474
1240,56474
1241,56474
1242,56474
1243,56474
1244,56474
1245,56474
1246,56474
1247,56474
1248,56474
1249,56474
1250,56474
1251,56474
1252,56474
1253,56474
1254,56474
1255,56474
1256,56474
1257,56474
1258,56474
1259,56510
1260,56510
1261,56510
1262,56510
1263,56510
1264,56510
1265,56510
1266,56510
1267,56510
1268,56510
1269,56510
1270,56510
1271,56510
1272,56510
1273,56510
1274,56510
1275,56510
1276,56510
1277,56510
1278,56510
1279,56510
1280,56510
1281,56510
1282,56510
1283,56541
1284,56541
1285,56541
1286,56541
1287,56541
1288,56541
1289,56541
1290,56541
1291,56541
1292,56541
1293,56541
1294,56541
1295,56541
1296,56541
1297,56541
1298,56541
1299,56541
1300,56541
1301,56541
1302,56541
1303,56541
1304,56541
1305,56541
1306,56541
1307,56569
1308,56569
1309,56569
1310,56569
1311,56569
1312,56569
1313,56569
1314,56569
1315,56569
1316,56569
1317,56569
1318,56569
1319,56569
1320,56569
1321,56569
1322,56569
1323,56569
1324,56569
1325,56569
1326,56569
1327,56569
1328,56569
1329,56569
1330,56569
1331,56591
1332,56591
1333,56591
1334,56591
1335,56591
1336,56591
1337,56591
1338,56591
1339,56591
1340,56591
1341,56591
1342,56591
1343,56591
1344,56591
1345,56591
1346,56591
1347,56591
1348,56591
1349,56591
1350,56591
1351,56591
1352,56591
1353,56591
1354,56591
1355,56609
1356,56609
1357,56609
1358,56609
1359,56609
1360,56609
1361,56609
1362,56609
1363,56609
1364,56609
1365,56609
1366,56609
1367,56609
1368,56609
1369,56609
1370,56609
1371,56609
1372,56609
1373,56609
1374,56609
1375,56609
1376,56609
1377,56609
1378,56609
1379,56623
1380,56623
1381,56623
1382,56623
1383,56623
1384,56623
1385,56623
1386,56623
1387,56623
1388,56623
1389,56623
1390,56623
1391,56623
1392,56623
1393,56623
1394,56623
1395,56623
1396,56623
1397,56623
1398,56623
1399,56623
1400,56623
1401,56623
1402,56623
1403,56631
1404,56631
1405,56631
1406,56631
1407,56631
1408,56631
1409,56631
1410,56631
1411,56631
1412,56631
1413,56631
1414,56631
1415,56631
1416,56631
1417,56631
1418,56631
1419,56631
1420,56631
1421,56631
1422,56631
1423,56631
1424,56631
1425,56631
1426,56631
1427,56635
1428,56635
1429,56635
1430,56635
1431,56635
1432,56635
1433,56635
1434,56635
1435,56635
1436,56635
1437,56635
1438,56635
1439,56635
1440,56635
1441,56635
1442,56635
1443,56635
1444,56635
1445,56635
1446,56635
1447,56635
1448,56635
1449,56635
1450,56635
1451,56635
1452,56635
1453,56635
1454,56635
1455,56635
1456,56635
1457,56635
1458,56635
1459,56635
1460,56635
1461,56635
1462,56635
1463,56635
1464,56635
1465,56635
1466,56635
1467,56635
1468,56635
1469,56635
