,0
203,55737
204,55737
205,55737
206,55737
207,55737
208,55737
209,55737
210,55799
211,55799
212,55799
213,55799
214,55799
215,55799
216,55799
217,55799
218,55799
219,55799
220,55799
221,55799
222,55799
223,55799
224,55799
225,55799
226,55799
227,55799
228,55799
229,55799
230,55799
231,55799
232,55799
233,55799
234,55858
235,55858
236,55858
237,55858
238,55858
239,55858
240,55858
241,55858
242,55858
243,55858
244,55858
245,55858
246,55858
247,55858
248,55858
249,55858
250,55858
251,55858
252,55858
253,55858
254,55858
255,55858
256,55858
257,55858
258,55911
259,55911
260,55911
261,55911
262,55911
263,55911
264,55911
265,55911
266,55911
267,55911
268,55911
269,55911
270,55911
271,55911
272,55911
273,55911
274,55911
275,55911
276,55911
277,55911
278,55911
279,55911
280,55911
281,55911
282,55961
283,55961
284,55961
285,55961
286,55961
287,55961
288,55961
289,55961
290,55961
291,55961
292,55961
293,55961
294,55961
295,55961
296,55961
297,55961
298,55961
299,55961
300,55961
301,55961
302,55961
303,55961
304,55961
305,55961
306,56007
307,56007
308,56007
309,56007
310,56007
311,56007
312,56007
313,56007
314,56007
315,56007
316,56007
317,56007
318,56007
319,56007
320,56007
321,56007
322,56007
323,56007
324,56007
325,56007
326,56007
327,56007
328,56007
329,56007
330,56048
331,56048
332,56048
333,56048
334,56048
335,56048
336,56048
337,56048
338,56048
339,56048
340,56048
341,56048
342,56048
343,56048
344,56048
345,56048
346,56048
347,56048
348,56048
349,56048
350,56048
351,56048
352,56048
353,56048
354,56085
355,56085
356,56085
357,56085
358,56085
359,56085
360,56085
361,56085
362,56085
363,56085
364,56085
365,56085
366,56085
367,56085
368,56085
369,56085
370,56085
371,56085
372,56085
373,56085
374,56085
375,56085
376,56085
377,56085
378,56118
379,56118
380,56118
381,56118
382,56118
383,56118
384,56118
385,56118
386,56118
387,56118
388,56118
389,56118
390,56118
391,56118
392,56118
393,56118
394,56118
395,56118
396,56118
397,56118
398,56118
399,56118
400,56118
401,56118
402,56146
403,56146
404,56146
405,56146
406,56146
407,56146
408,56146
409,56146
410,56146
411,56146
412,56146
413,56146
414,56146
415,56146
416,56146
417,56146
418,56146
419,56146
420,56146
421,56146
422,56146
423,56146
424,56146
425,56146
426,56170
427,56170
428,56170
429,56170
430,56170
431,56170
432,56170
433,56170
434,56170
435,56170
436,56170
437,56170
438,56170
439,56170
440,56170
441,56170
